playlist_genre;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
edm;0.599;0.894;5;-4.654;0;0.043;0.00198;0.0197;0.534;0.171;128.004;313877
edm;0.49;0.866;7;-3.152;1;0.0406;0.0182;0.0;0.106;0.185;127.998;219844
edm;0.49;0.725;10;-6.854;1;0.0763;0.00813;0.119;0.377;0.106;126.004;200480
edm;0.613;0.775;6;-4.04;0;0.0409;0.00678;0.0;0.0677;0.391;127.906;204609
edm;0.72;0.77;11;-4.069;0;0.0762;0.035;1.88e-06;0.46;0.217;127.996;393750
edm;0.602;0.839;8;-3.561;0;0.0389;0.0141;0.0083;0.0897;0.402;126.001;228987
edm;0.584;0.936;1;-4.456;0;0.283;0.00713;0.0372;0.407;0.363;127.988;337500
edm;0.516;0.946;9;-6.137;0;0.0951;0.072;0.506;0.143;0.162;132.048;161779
edm;0.568;0.878;0;-3.156;1;0.0447;0.00838;3.3e-06;0.0896;0.28;125.967;203810
edm;0.624;0.735;2;-6.664;1;0.0621;0.000502;0.932;0.0679;0.339;127.985;377930
edm;0.576;0.914;9;-4.037;0;0.0634;0.047;0.0068;0.183;0.687;127.94;187500
edm;0.701;0.607;1;-4.514;0;0.0547;0.00444;4.09e-05;0.0433;0.342;127.979;331000
edm;0.627;0.832;6;-5.525;0;0.0478;0.00939;0.00305;0.115;0.216;128.025;298125
edm;0.609;0.989;2;-3.51;1;0.0867;0.000434;0.219;0.0715;0.0358;130.046;171697
edm;0.545;0.78;7;-4.867;0;0.0436;0.0309;4.64e-05;0.0828;0.458;125.014;255093
edm;0.559;0.916;11;-3.05;1;0.0626;0.0453;1.26e-05;0.225;0.195;128.012;215295
edm;0.645;0.832;2;-5.595;1;0.0294;0.00106;0.00264;0.199;0.375;112.028;188371
edm;0.581;0.64;5;-8.367;1;0.0365;0.0266;0.0;0.572;0.288;128.001;196993
edm;0.428;0.922;2;-1.814;1;0.0936;0.0766;0.0;0.0668;0.21;128.17;204375
edm;0.522;0.786;0;-4.462;1;0.042;0.00171;0.00427;0.375;0.4;128.041;353120
edm;0.529;0.821;6;-4.899;0;0.0481;0.108;1.11e-06;0.15;0.436;127.989;210112
edm;0.626;0.888;2;-3.361;1;0.109;0.00792;0.127;0.343;0.308;128.008;367432
edm;0.603;0.884;5;-4.571;0;0.0385;0.000133;0.341;0.742;0.0894;127.984;337500
rap;0.765;0.704;5;-4.589;0;0.127;0.0215;0.0;0.227;0.498;147.055;192172
rap;0.89;0.504;8;-5.444;0;0.123;0.023;0.0;0.123;0.222;129.969;213613
rap;0.841;0.728;7;-3.37;1;0.0484;0.0847;0.0;0.149;0.43;130.049;243837
rap;0.738;0.629;6;-4.882;0;0.0495;0.268;0.00114;0.163;0.319;146.067;180898
rap;0.656;0.542;7;-7.358;1;0.323;0.0484;0.0;0.126;0.551;166.111;141587
rap;0.846;0.651;7;-5.481;0;0.128;0.634;0.0;0.125;0.581;140.048;223921
rap;0.88;0.428;9;-8.28;1;0.206;0.149;5.07e-05;0.114;0.333;100.007;172800
rap;0.936;0.592;7;-6.878;0;0.144;0.014;0.0;0.137;0.24;124.996;255379
rap;0.86;0.561;6;-5.757;0;0.185;0.274;0.0;0.108;0.354;152.984;189480
rap;0.817;0.587;2;-6.502;1;0.108;0.052;0.00165;0.185;0.352;140.062;209143
rap;0.511;0.566;6;-7.23;0;0.2;0.349;0.0;0.34;0.218;83.903;239836
rap;0.889;0.543;2;-7.666;1;0.128;0.00311;6.85e-06;0.234;0.314;140.029;231231
rap;0.901;0.464;5;-9.789;0;0.0645;0.368;1.71e-05;0.238;0.638;109.004;203267
rap;0.964;0.487;10;-6.071;0;0.421;0.00127;6.57e-06;0.115;0.107;127.05;154024
rap;0.89;0.607;9;-6.916;0;0.124;0.158;0.000228;0.118;0.224;134.022;233040
rap;0.763;0.598;11;-6.865;1;0.0539;0.0714;0.0;0.112;0.182;140.987;190678
rap;0.713;0.62;0;-4.513;1;0.0422;0.171;1.16e-06;0.118;0.206;130.09;211785
rap;0.889;0.385;11;-11.767;0;0.165;0.00544;0.0;0.274;0.235;125.995;202533
rap;0.81;0.353;6;-9.931;0;0.31;0.588;0.0;0.102;0.0727;88.031;208293
rap;0.886;0.629;1;-4.404;0;0.306;0.051;7.66e-06;0.121;0.487;158.002;182491
rap;0.9;0.653;1;-6.962;0;0.289;0.0945;0.0;0.528;0.399;112.503;145603
rap;0.922;0.581;10;-7.495;1;0.27;0.00104;5.86e-05;0.105;0.595;140.022;181263
rap;0.853;0.688;8;-6.509;0;0.296;0.0118;0.0;0.151;0.565;150.012;166693
rap;0.749;0.809;11;-7.649;1;0.0504;0.0484;0.0;0.172;0.311;147.992;167683
rap;0.711;0.663;11;-5.805;1;0.142;0.03;0.0;0.123;0.214;121.112;251195
rock;0.2;0.977;3;-3.494;0;0.159;0.00165;1.1e-05;0.259;0.39;195.711;199387
rock;0.576;0.96;4;-2.605;1;0.0759;0.000436;3.23e-05;0.0659;0.532;120.95;147333
rock;0.478;0.974;7;-3.866;1;0.102;0.000266;0.0984;0.0738;0.268;141.077;248307
rock;0.434;0.924;1;-3.379;0;0.0411;0.0064;0.0;0.342;0.497;101.862;237373
rock;0.424;0.979;11;-2.843;1;0.0805;0.00158;7.45e-06;0.281;0.28;165.921;267907
rock;0.408;0.955;3;-3.003;0;0.196;0.000792;0.0;0.133;0.474;170.024;203720
rock;0.419;0.934;7;-3.908;0;0.12;0.000278;0.0015;0.132;0.286;127.288;210240
rock;0.608;0.881;1;-6.035;1;0.0525;3.89e-05;0.0028;0.184;0.503;104.398;257267
rock;0.433;0.914;11;-3.4;1;0.0985;0.00301;0.0;0.296;0.635;163.759;230093
rock;0.373;0.737;1;-5.282;1;0.0297;9.4e-06;0.0;0.0696;0.565;177.9;186893
rock;0.535;0.951;3;-3.324;0;0.18;0.00777;0.0;0.0669;0.723;160.102;175373
rock;0.532;0.943;7;-4.549;0;0.0512;0.0056;0.000587;0.317;0.371;140.042;294800
rock;0.432;0.884;8;-6.659;1;0.13;0.0127;0.000527;0.166;0.624;108.948;166707
rock;0.38;0.962;6;-2.946;1;0.084;1.02e-05;0.898;0.346;0.5;159.898;237493
rock;0.49;0.938;1;-3.916;1;0.129;0.00234;2.17e-05;0.186;0.437;196.143;274160
rock;0.301;0.853;5;-7.296;1;0.0768;0.00272;0.659;0.331;0.285;79.249;247253
rock;0.579;0.812;1;-6.509;0;0.0693;0.00114;0.00333;0.115;0.278;152.002;223747
rock;0.582;0.765;9;-6.544;1;0.0376;0.00106;0.0506;0.344;0.528;128.164;200493
rock;0.451;0.951;1;-3.754;1;0.0645;0.00038;2.39e-06;0.261;0.442;162.065;213933
rock;0.349;0.964;5;-4.527;1;0.0979;0.000525;3.7e-06;0.197;0.36;162.038;239933
rock;0.264;0.78;0;-2.741;1;0.0517;0.0452;0.0222;0.376;0.456;155.376;280467
rock;0.219;0.952;2;-3.621;1;0.176;5.1e-05;0.0989;0.157;0.172;112.886;176307
rock;0.469;0.79;7;-6.889;1;0.0391;0.000148;0.372;0.282;0.466;107.45;381947
rock;0.567;0.714;9;-8.512;0;0.0302;0.0012;0.42;0.186;0.191;107.438;403533
rock;0.314;0.93;9;-6.237;1;0.105;2.01e-05;0.501;0.139;0.294;100.935;363680
;;;;;;;;;;;;
